,className,Q22,labels,予測値,ニュートラル,ポジティブ,ネガティブ,,予測値
3290,A,資料の配布やe-Learningの設定が遅れていることが多かった。,-1,2,0.02%,0.16%,99.82%,,
4619,A,メリットは授業動画があることによってプログラミングの際に分からなくなった場合に見直すことができる点で、デメリットは予習をしっかりとしていないとグループワークで行う内容を理解できなくなってしまう可能性があるという点です。,0,0,98.03%,0.94%,1.02%,,
5274,A,グループワークでソースコードの共有を行う際、無理にしゃべったり逆に会話に入れないということがあまりないので、人見知りにはありがたい。オフラインよりやりやすかった。,1,1,0.30%,93.41%,6.29%,,
4656,A,Zoomをうまく活用していた科目だと思った。,1,1,0.09%,96.12%,3.79%,,
4732,A,特になし,0,0,99.83%,0.08%,0.09%,,
4752,A,やりやすい対面じゃないと分からない点の解決が場合によってはできない,-1,2,0.17%,0.01%,99.82%,,
4755,A,メリットは、対面と同じような感じで受けられること。デメリットは、相手の顔を見ることができないこと。,0,0,99.03%,0.19%,0.79%,,
4810,A,自分のパソコンでできるため好きな時間に予習復習できるところが良い面で、悪い面は無かった。,1,2,2.90%,33.75%,63.35%,,
4852,A,課題等はいつでもできるところ。ZOOMの音声がたまに聞き取りにくかった時に少し困惑した。,0,0,96.91%,1.13%,1.96%,,
5142,A,オンラインでも対面講義と同様に学ぶことができたため、デメリットはないと思う。,1,2,14.82%,16.48%,68.70%,,
4871,A,基本的に理解も作成もオンラインだけで事足りるものだったが、周囲の人間とどこまでやればいいのか、これであっているかが確認しにくいのは難点だった。作成に関して時間の使い方が自由になって一年後期にやったものよりやりやすく感じた。,-1,2,15.66%,1.42%,82.92%,,
4872,A,メリット好きな時間に取り組むことができる。課題に多くの時間を掛けることができる。デメリット特に無い。,1,1,0.73%,99.15%,0.13%,,
4891,A,自宅で学習できる点が良いと思った。,1,1,0.04%,99.80%,0.17%,,
5055,A,自分のペースで進めることができるオンライン形式の方が良いと感じた。,1,1,0.03%,99.67%,0.30%,,
8906,A,solomonの複数のページにまたがって教材が配信されていたので、初見ですべての教材を視聴して解いて提出することができなかった。一カ所にまとめて掲示してほしかった。,-1,2,0.17%,0.08%,99.76%,,
4626,A,メリットは自分のペースでじっくりと課題を進めることができる点。デメリットは他の人と一緒に考えた方が課題解決が早く，内容の理解もしやすい点。,0,0,98.23%,1.04%,0.73%,,
3182,A,わからないところを聞くということに関していえば、タイムラグのない対面の方がいいと感じた。,-1,2,0.00%,0.05%,99.95%,,
18,A,オンライン化することでディスカッション形式での授業が困難になったように思える。今後、オンラインで授業する際はこの点を考慮してカリキュラムに取り入れてほしい。,-1,2,1.06%,0.05%,98.90%,,
3434,A,授業はなかった。,0,0,55.23%,2.54%,42.22%,,
4733,A,板書が見にくい。,-1,2,0.31%,0.36%,99.34%,,
3761,A,ない,0,0,99.24%,0.17%,0.58%,,
5277,A,先生が六法全書を見ている間の映像を早送りしたり、またビデオを見ながら自分で調べてノートを書くことができたので、オンライン（ビデオ）授業でよかったと思いました。,1,1,0.74%,95.57%,3.69%,,
3306,A,メリットは自分の都合の良い時間に動画を見て、聞き逃した所があれば動画を戻して確認することができる点です。デメリットは無かったです。,1,1,0.03%,99.95%,0.02%,,
3994,A,ビデオ配信形式だったので、苦手な分野を繰り返し視聴し、自分のペースで学修することができた。,1,1,0.02%,99.87%,0.11%,,
1654,A,分量のある科目であるため、オンラインでのペース配分を考えた視聴は丁度良いと思います。,1,1,0.02%,99.86%,0.13%,,
2972,A,メリットは何度も繰り返し見られること。デメリットは飽きやすく集中しにくいこと,0,0,99.29%,0.41%,0.30%,,
290,A,提出項目が出てこない、出席されてないとかある,-1,2,0.03%,0.04%,99.93%,,
1334,A,スライドが切り替わる際に音声が一々大きくなるのが気になった。,0,0,57.74%,1.46%,40.80%,,
2834,A,特にない。,0,0,97.82%,0.05%,2.13%,,
1053,A,メリットは自分の都合の良い時間に視聴できること。,1,1,0.02%,99.94%,0.04%,,
1367,A,自分の好きなタイミングで視聴できる。,1,1,0.01%,99.92%,0.07%,,
1343,A,何度でも見直せるところ,1,1,0.02%,99.95%,0.04%,,
1892,A,この講義は完全に教科書に則って進めていたため、自分で教科書の内容を予習、復習していくことができたので今後の講義も必ずしも対面でなくてもよいと感じた。,0,1,6.72%,84.18%,9.10%,,
213,A,ないです,0,0,92.00%,1.31%,6.69%,,
6050,A,なし。,0,0,99.51%,0.29%,0.20%,,
7491,B,デメリット：文字での説明しかなかったので理解できないところやもう少し理解を深めたいところをどうすることもできない場面がある。,-1,2,0.13%,0.04%,99.83%,,
8259,B,学校に行くことなく授業に出席でき、登校時間が省かれるので快適であった。,1,1,0.46%,98.02%,1.52%,,
6455,B,メリット：ＣＯＶＩＤ－２０１９の感染を防げる。デメリット：他の生徒の意見が分からない。,0,0,99.12%,0.65%,0.24%,,
5870,B,オンライン講義にすることによるメリットは、自分のペースで取り組めて動画を何回でも見直すことができるところだと思う。しかし、やはり対面授業で聞いた方がリアルタイムで質問できるので対面授業の方が良い。,-1,2,44.15%,0.29%,55.57%,,
5951,B,非常にわかりやすいアニメーションのついた動画とリンクしたテキストでかなりわかりやすく理解できた。,1,1,0.03%,99.47%,0.50%,,
7565,B,計算等の演習を繰り返し行うことができるところ質問や疑問の解消に時間がかかるところ,0,0,91.74%,5.30%,2.96%,,
7643,B,図が見やすいこと。無音声教材でありながら画面の文字量が非常に多く見づらいため、ビデオを見るよりも自分でプリントを確認し直す必要が多い。数学のeラーニングの教科書のように要点をコマ送りで確認するだけで十分だったと感じられる。,-1,2,0.23%,0.12%,99.65%,,
8435,B,現在は基礎内容だが、内容が難しくなってきて、疑問点が増えてきたとき質問してもすぐに回答が得られないことがデメリットとして挙がってくると思う。,-1,2,0.30%,0.01%,99.69%,,
7480,B,講義の内容は理解しやすかったが、音声があるとさらに学習しやすいと思った。,0,0,77.91%,1.39%,20.70%,,
6812,B,メリットは、何度も動画を見直せることです。,1,1,0.13%,99.83%,0.04%,,
8488,B,ビデオも見やすく、分からない点は何度も見直しできたのでオンライン講義のメリットを強く感じられた。,1,1,0.33%,96.70%,2.96%,,
7415,B,メリット・図や画像を使って分かりやすかった・ビデオなので何回も見直せたデメリット・分かんないことがあった場合すぐに質問ができない,1,1,0.04%,99.75%,0.21%,,
6175,B,わからないところで止まってもう一度確認することができ、自分のペースで進めることができました。,1,1,0.09%,99.78%,0.13%,,
8519,B,ついていけなくなっても何度も授業を聞けるところがよかったです。対面と違い音声での説明がなかったのでわかりにくかったです。,0,0,97.08%,0.51%,2.41%,,
7303,B,課題取り組み期間が長いため、自分で時間を見つけてコツコツと取り組むことができる。,1,1,0.01%,99.98%,0.02%,,
8570,B,・短いから集中できる・予定を入れやすい,1,1,0.12%,99.65%,0.24%,,
7254,B,わからない点を何度も繰り返し見ることができる点は良かったですが、文面では表しにくい自分の疑問を教えていただく機会が限られていることがデメリットに感じました。,0,0,95.99%,0.61%,3.40%,,
8629,B,電子の流れなどを動画で制作してくださったので、理解に役立った。オンデマンド講義による大きな弊害やデメリットは無かった。,1,1,0.03%,99.59%,0.38%,,
8736,B,メリットは自分のペースで学べること。デメリットは耳から聞くことができないので、画面をずっと見ていないといけないこと。,0,0,98.97%,0.14%,0.89%,,
6243,B,オンライン講義であることで、要点を絞って学ぶことができたため、理解を深めることができたと考える。,1,1,0.40%,99.19%,0.41%,,
6265,B,メリットは自身の好きな時間に講義を受けることができることである。,1,1,5.21%,94.50%,0.29%,,
6975,B,メリットは学校に行く手間がかからないこと。また、自分の時間で取り組めること。デメリットはない。,1,1,0.07%,99.87%,0.06%,,
8215,B,メリットは好きな時間に出来ることや何回も見直しが出来ることだと思います。デメリットは自分のような後回し癖などがある人間にとってはついつい悪い癖が出て後回しにしたり課題を忘れてしまったりしてしまうところだと思います。,0,0,96.72%,2.18%,1.10%,,
7654,B,オンライン授業で声が欲しかったです,-1,2,4.07%,0.28%,95.65%,,
8374,B,メリットは、自分が理解するまで何回も繰り返し動画が見られることです。,1,1,0.12%,99.60%,0.28%,,
6893,B,期間内に何度も見直せるところ。,1,1,0.03%,99.93%,0.04%,,
6698,B,メリット：高校で物理を履修していない人でも理解できる点デメリット：特になし,1,1,0.43%,97.82%,1.75%,,
7844,B,特にないです,0,0,99.27%,0.12%,0.62%,,
6677,B,メリット　・自分のペースでゆっくり動画を見られるデメリット　・講義を後回しにしがちになってしまう,0,0,98.15%,0.77%,1.09%,,
7792,B,メリットは自分の好きな時に受講できたこと。デメリットは課題提出を忘れてしまうことがあったこと。,0,0,99.19%,0.55%,0.27%,,
7745,B,メリットは色ありで図や表を表すので、現象が伝わりやすかった。デメリットは音がなかったことです。,0,0,98.42%,1.01%,0.57%,,
6847,B,オンデマンド式なので、1回で分からなかった部分を見直すことが出来る点がメリットだと思います。一方で、音声がないので眠くなりやすい点がデメリットだと思います。,0,0,96.37%,1.60%,2.03%,,
6721,B,対面授業で分かりやすく噛み砕いたような言葉遣いがないため理解に苦しむ学習内容が多くあった。教材のリンクが記載されていたり、ポータルサイトの情報がまとまっていたりとオンライン授業のなかでとても親切さが感じられた。,0,0,97.41%,1.28%,1.31%,,
6596,B,分かっている部分は確認するだけで、分からない部分は何度も止めてじっくりと理解するなど自分のできるレベルに応じて授業の受け方を変えやすく、終始集中して取り組むことができることがメリットだと思いました。,1,1,0.01%,99.69%,0.30%,,
6790,B,好きな時間に受けることができ、動画は自分のペースで再生でき何度も確認ができる。,1,1,0.02%,99.96%,0.02%,,
6501,B,特になし,0,0,99.83%,0.08%,0.09%,,
8184,B,・メリット手元にパソコンがあるので、分からなかったところをすぐに調べられたこと。,1,1,0.12%,99.67%,0.22%,,
6766,B,普段あまり聞くことのない新しい用語が出てきたりするため、対面授業のほうが用語に関して細かい解説が出来るため良いと思います。,-1,2,2.45%,0.19%,97.37%,,
7676,B,メリットは授業を何度も見返すことができること。デメリットは家で一人でやるとあまりやる気が出ない。,0,0,97.56%,1.43%,1.01%,,
8207,B,学校に行かなくて済むことです。,1,1,0.06%,99.85%,0.09%,,
8354,B,理解できなかった箇所を後から何度でも見直せるので、授業内容の理解がしやすかった。,1,1,0.04%,97.39%,2.57%,,
8803,B,メリット　大学に行く必要がないことデメリット　無音声なので集中力が続きにくいと感じたこと,0,0,97.51%,0.18%,2.32%,,
6118,B,学生としては質問がしやすいことは有り難かったです学校が遠いのでそもそも家から受けられるのがとてもよかった。,1,1,0.09%,99.54%,0.36%,,
6843,B,簡潔にまとめられていて、授業内容を理解しやすかった。,1,1,0.15%,99.10%,0.75%,,
6211,B,メリットは、期間内であれば好きな時間に回答できること。デメリットは、高校で物理を履修していなかったので大変でした。,0,0,97.89%,0.75%,1.36%,,
8540,B,何度も授業を見返せる。,1,1,0.18%,99.58%,0.24%,,
6226,B,この講義をオンラインでするメリットは公式などの過程などの問題をいつでも復習することができることです。また、デメリットは先生にすぐ質問ができないことです。,0,0,99.46%,0.14%,0.40%,,
8551,B,何回も授業の動画を見ることができたこと。,1,1,0.09%,99.84%,0.07%,,
8008,B,メリットはいつでも視聴できること。デメリットは質問がリアルタイムでできないこと。,0,0,99.53%,0.10%,0.36%,,
6611,B,メリットは、いつでも好きな時間に始めることができ、速度も自分の好きなようにできること。デメリットは、直接コミュニケーションが取れないため、わからないものが出たときに解決するのが難しい。,0,2,3.74%,0.05%,96.21%,,
7294,C,自分のタイミングで、授業に取り組むことができたので、高いモチベーションで学ぶことができました。,1,1,0.06%,99.82%,0.13%,,
7963,C,動画なので電流などの動きが分かりやすい。,1,1,0.31%,99.36%,0.34%,,
8587,C,自分のペースで勉強できる。,1,1,0.02%,99.97%,0.01%,,
8601,C,図などを時間をかけて見られるのはメリットだと感じた。,1,1,0.03%,99.74%,0.23%,,
6459,C,メリット・・・わからないところを繰り返し見ることができる。デメリット・・・特になし,1,1,0.04%,99.94%,0.02%,,
6662,C,ビデオ教材のため、都合のつく時間帯で受けられたこと。,1,1,0.04%,99.79%,0.17%,,
6398,C,メリット：図で短く説明できるデメリット：どこが理解できていてどこが分かっていないかがその場で伝わらない,0,0,96.27%,0.16%,3.57%,,
7862,C,オンライン講義のメリットは、自由度は高いところだと思われる。,1,1,0.45%,98.62%,0.92%,,
6258,C,メリット：振り返り視聴ができるデメリット：声で聴かない分理解度が下がる,0,0,99.04%,0.05%,0.91%,,
7014,C,何度も見返すことができる。,1,1,0.04%,99.94%,0.03%,,
6730,C,・メリット：繰り返し見ることができること。・デメリット：音声がないこと。,0,0,99.46%,0.44%,0.10%,,
6940,C,テキストはとても分かりやすかった。動画が無音だったので、言葉での説明が欲しいと思うことは何度かあった。,0,2,33.24%,12.00%,54.76%,,
8681,C,分からなかった部分を見直すことができる。,1,1,0.01%,99.93%,0.06%,,
8823,C,メリット：登校する必要がなく楽である。デメリット：集中力が続かない。,0,0,99.56%,0.23%,0.21%,,
6093,C,自分のノートを作る際に、重要そうだと思う部分を止めてみることができるのでその点はメリットだと思います。,1,1,0.05%,99.82%,0.13%,,
8019,C,メリット：いつでも授業を確認できる,1,1,3.53%,95.11%,1.36%,,
6388,C,中間テストの時など親切にポータルに掲示してくださったので分かりやすかった。　また、模擬テストなどを通して理解させようとしていたのも良かった。,1,1,0.90%,94.96%,4.14%,,
6071,C,映像授業では、図で分かりやすく説明していただけるので状況を理解しやすい。,1,1,0.06%,99.71%,0.23%,,
5881,C,電気回路図の書き方や電機分野の問題の解き方について学ぶことができるのがメリットです。,1,1,0.27%,99.34%,0.40%,,
8027,C,配信されたビデオがとてもわかりやすかったです。,1,1,0.31%,98.63%,1.06%,,
7595,C,ほとんどが高校範囲であったために講義を受ける重要性を強く感じられなかったが、電子の動きなどが映像で表現されるのは分かりやすくて高校教員にも参考にしてもらいたい程だと感じた。,0,0,97.26%,0.48%,2.26%,,
8483,C,メリットは、自分の分からない部分や復讐したい内容をあとから見直せる点デメリットは、対面の授業よりも質問をしたりするのが面倒な点,0,0,98.95%,0.10%,0.95%,,
8147,C,オンライン講義では講義の動画や課題を何度でも取り組むことができるのがメリットだと思います。,1,1,0.06%,99.88%,0.06%,,
6482,C,自分で分からないところを調べながら授業を受けることができる。,1,1,0.08%,99.80%,0.12%,,
8449,C,後で見返しやすい点がメリットだと思う。,1,1,0.21%,99.03%,0.76%,,
8065,C,アニメーションが所々にあってイメージしやすかった。わからない問題や躓いても置いてかれることがないので安心して受講できた。しかし、課題の提出期限が１週間後とかになると、受講後すぐ提出できず提出し忘れそうになるので受講後すぐ提出できるようにして欲しい。,0,0,87.13%,0.71%,12.16%,,
6923,C,メリット・好きな時間に受けることができる。・大切な部分は強調したり図が動いたりしてわかりやすかった。デメリット・特になし。,1,1,0.05%,99.93%,0.02%,,
6030,C,ビデオが動画になってて電子が動く様子がとてもわかりやすかった。動画を止めたり戻したりできるのがよかった。,1,1,0.02%,99.90%,0.09%,,
7453,C,この科目は物理学の電気分野をメインに授業を行っており、この分野は少し理解しにくいところがあり、それを画面で図やイラストを使いながら説明しておりとても理解しやすかったです。,1,1,0.03%,99.35%,0.62%,,
3906,C,メリット　必修の授業などで、人数が多くても関係なく先生の話や黒板などが見える。　　　　　聞き逃してしまっても見直せる。　　　　　自分のあったタイミングで学習できる,1,1,0.23%,99.57%,0.21%,,
5295,C,分からないところが質問しづらかった。,-1,2,0.62%,0.74%,98.64%,,
3272,C,家で講義を受けられるのはとても良かった。,1,1,0.04%,99.82%,0.14%,,
3328,C,聞き取れないところはどうあがいても聞き取れなかった。,-1,2,0.08%,1.76%,98.16%,,
5199,C,何度も授業内容を確認できるのは良かった。,1,1,0.02%,99.89%,0.09%,,
4779,C,メリット：いつでも見られるデメリット：学んだ気がしない,0,0,98.97%,0.06%,0.97%,,
5216,C,メリット：黒板を使って教えていたこと。デメリット：音量が少し小さかったこと。,0,0,99.57%,0.29%,0.14%,,
4728,C,今まであまり触れてこなかった分野のため時間はかかるが自分で色々調べながら勉強を進めることが出来て有意義な時間の使い方ができたと思う。インターネット上で調べることでテキストに書いてあることだけでなく関連事項も一緒に知ることが出来て面白かった。時々ビデオのバグのようなもので先生の音声が聞こえなかったり画面が止まったりしていたのが残念だと思った。,1,1,2.44%,96.46%,1.10%,,
5155,C,直接質問できないことは不便だと感じました。,-1,2,0.34%,0.07%,99.59%,,
1548,C,テストで出るような応用問題の解説などが授業内で欲しかったです。,-1,2,17.50%,12.72%,69.78%,,
5633,C,1度聞いて理解できなかった部分を、オンデマンドの場合は、何度も見られるので復習をするのに有効でした。,1,1,0.06%,99.70%,0.24%,,
3589,C,講義動画での計算過程説明などで、自分がよく理解できている点は飛ばしながら再生しつつ、理解できていない点は10秒20秒巻き戻してじっくり再生するということがオンライン講義なら可能なので、時間効率がとても良い。,1,1,0.11%,99.78%,0.12%,,
3805,C,資料がとてもわかりやすいため、オンライン授業でも理解することができると思う。ただ、現象などの実演などは実際に目の前で行われたほうがわかりやすいと思う。,0,0,97.54%,0.26%,2.20%,,
6758,C,統計などで図や表を使う機会が多かったため、オンラインだと画面上に図や表を映しながら授業ができるので良いと思います。授業の中で自己分析をすることがあったのですが、対面授業の場合周りの人とのディスカッションなどを通して他己分析なども行うことができたのではないかと思います。,0,0,91.82%,4.48%,3.71%,,
7412,C,メリット・図や画像を使ってて理解しやすかった・ビデオなので何回でも見直すことができるデメリット・分からないことがあってもすぐに質問できない,1,1,0.02%,99.93%,0.05%,,
8486,C,先生もオンライン講義用に一本の動画の時間を短く小分けにしてくれた。自分で休憩も入れながら取り組めた。そこに非常にオンライン講義のメリットを感じた。,1,1,0.05%,99.92%,0.03%,,
8258,C,学校に行くことなく授業に出席でき、登校時間が省かれるので快適であった。,1,1,0.46%,98.02%,1.52%,,
7734,C,メリットは課題の中で文献を調べることができるが、デメリットは質問をできないことである。,0,0,98.73%,0.30%,0.97%,,
6053,C,直接質問することができない点がデメリットだと感じる。,-1,2,0.14%,0.02%,99.84%,,
8327,C,メリットは自分の考えに向き合う時間を授業の中で取りやすかった点だと思う。デメリットは、自分以外の人の考え方を知ることが難しかった点だと思う。,0,0,97.59%,0.77%,1.65%,,
7307,C,メリットは、オンラインでもしっかり自分で考えられて、取り組みやすいということ。デメリットは特になかったです。,1,0,73.73%,25.53%,0.75%,,
7496,D,デメリット：対面でやらないとやる気が出ない,-1,2,0.24%,0.04%,99.73%,,
7732,D,色んな人と話しあう機会がないのがとても残念でした。,-1,2,0.09%,0.01%,99.90%,,
6969,D,対面しなくてもいい手軽さが良かった。悪いところはなかった。,1,1,0.15%,99.15%,0.69%,,
5872,D,この科目はオンラインでも問題ないと感じた。スライドに載せる内容が全て簡潔にまとめられていて、とても分かりやすかった。デメリットは特になし。,1,1,21.52%,78.09%,0.39%,,
6815,D,動画が細かく分かれていたのでやりやすくて良かったです。そのままでも全然大丈夫なのですが、次のスライドに移るスピードが少し早かったかなと思います。,1,1,0.67%,98.50%,0.83%,,
6457,D,メリット：ＣＯＶＩＤ－１９の感染を防止できる。デメリット：他の人の意見が分からない。,0,0,99.54%,0.31%,0.16%,,
6683,D,好きな時に受講できる,1,1,0.06%,99.63%,0.30%,,
6595,D,完全に一人で授業に受けることができるので、じっくりと考えることができることがメリット、逆に他の人の意見を聞くことが難しいことがデメリットだと思います。,0,0,91.55%,0.68%,7.77%,,
6409,D,直接話を聞く時のわかりやすさがない,-1,2,0.43%,0.27%,99.30%,,
7791,D,メリットは慣れないパソコンを用いた授業が自宅でできたためリラックスして講義に集中できたところ。デメリットはわからないところがあっても聞く人がいないところ。,0,0,92.29%,4.31%,3.40%,,
6901,D,期間内ならいつ受講しても良いところ。,1,1,0.08%,99.65%,0.27%,,
5945,D,授業内容のスライドも簡潔に示されており、課題もポータル上で十分な形式であったため、オンライン講義で満足できる内容であった。デメリットは特に見当たらない。,1,1,0.89%,98.48%,0.64%,,
8739,D,時間をかけて考えることができる。,1,1,0.33%,99.51%,0.16%,,
7249,D,周囲と話し合ったりできないという点でデメリットを感じました。,-1,2,0.03%,0.03%,99.95%,,
8577,D,授業時間が短い（メリット）,1,1,1.53%,96.63%,1.83%,,
6703,D,メリット：何度も授業動画を視聴できる点デメリット：特になし,1,1,5.25%,94.46%,0.29%,,
8204,D,何回でも見返せること。,1,1,0.04%,99.90%,0.06%,,
6239,D,他人と相談できないことがかえって、自分の意見を持つことにつながったと思う。しかし、やはり他人と相談することでより考えを深めることができると考えるため、その点がオンライン講義のデメリットであると思う。,-1,2,11.20%,0.18%,88.63%,,
8514,D,何度も見直せる。対面より集中力が劣る。,0,0,97.41%,0.25%,2.35%,,
8379,D,メリットは、キャリアについて知らないことばかりなので、先生の話を何回も聞いたり、スライドを止めたりして学ぶことができた。友達がクラスメイトとキャリアについて共有できなかったのがでりっとだと思う。,0,0,92.02%,2.28%,5.71%,,
7678,D,メリットは見返せること。デメリットは家でやるのは集中しずらいということ。,0,0,98.93%,0.55%,0.52%,,
8212,D,メリットは時間に縛られずに視聴出来ることデメリットは後回し癖がついつい出てしまうことだと思います,0,0,99.28%,0.13%,0.59%,,
6848,D,スライドの文面を一時停止してじっくりと見れる点がメリットだと思います。,1,1,0.37%,97.78%,1.86%,,
6380,D,課題が多いといわれてましたが、個人的には思わなかった。とてもたのしくおわることができた。,1,1,0.14%,96.00%,3.86%,,
8059,D,ビデオの時間が非常に短く、簡潔にまとまっているので取り組みやすかった。しかし先生の話す速度が速かったり、声が大きすぎて若干音割れしていたのが嫌だった。,0,0,97.34%,0.77%,1.89%,,
5994,D,メリット；好きな時間帯に視聴できることデメリット；グループワークなど、他人と共同で作業する機会がなく、自分またはクラスメイトの意見を共有することができなかったこと,0,0,99.18%,0.15%,0.67%,,
5882,D,今後の大学生活やキャリア活動に活かせる内容について学ぶことができるのがメリットです。,1,1,0.09%,99.53%,0.38%,,
6939,D,対面の場合、周りの人と話し合う機会を設けているというような話があったが、結局最後までオンラインだったので残念に思った。,-1,2,0.12%,0.02%,99.86%,,
8033,D,デメリットは特に感じなかった。,0,0,98.21%,1.22%,0.57%,,
6032,D,メモしたいことをビデオを戻しながら聞けるのがメリット,1,1,0.26%,98.71%,1.02%,,
8581,D,自分のペースで進めることができる。,1,1,0.02%,99.96%,0.03%,,
6082,D,残したくないデータも取り扱っているので対面の方が良いと思った。先生の関西弁を聞くことができる。,-1,0,46.11%,41.83%,12.06%,,
7318,D,特にありません,0,0,98.79%,0.11%,1.10%,,
7853,D,オンライン講義のメリットは、自由度は高いところだと思われる。,1,1,0.45%,98.62%,0.92%,,
6115,D,オンラインであったからかもしれないが、ネット等を使って調べる課題も多く、また先生も授業にネットを利用したりしていたのでわかりやすく学べた。,1,2,30.13%,20.10%,49.77%,,
8687,D,詳しいことを学びにくかった。,-1,1,0.88%,62.85%,36.27%,,
8543,D,何度も見返せる。,1,1,0.07%,99.88%,0.05%,,
8607,D,自分の見られるときに動画を視聴できるのがメリットだと思う。,1,1,0.01%,99.65%,0.34%,,
6727,D,・メリット：繰り返し見れること。・デメリット：意見交換ができないこと。,0,0,99.53%,0.26%,0.22%,,
7598,D,周りと話し合うことができなかったのが歯がゆい。ただ、ゆっくり時間をかけて自分の考えをまとめられることがオンライン講義としてのメリットだったのではないかと感じる。,0,0,93.24%,0.26%,6.50%,,
6608,D,オンライン講義でのメリットは、授業のスピードを自分に合わせて止めたりできることです。デメリットは、質問等など直接聞けないことです。,0,0,99.60%,0.14%,0.26%,,
8501,D,グループワークができない。,-1,2,0.11%,0.02%,99.88%,,
8011,D,メリットは登校時間の短縮ができる。デメリットは直接聞けない。,0,0,99.05%,0.42%,0.53%,,
8018,D,メリット：いつでも授業を振り返ることができる,1,1,0.14%,99.80%,0.06%,,
6248,D,メリットとして資料が自分の目の前で表示され、自分のタイミングで次に進めることから、オンライン講義も一部推薦する,1,1,0.10%,99.61%,0.29%,,
8349,D,ビデオを止めて1人で考える時間をたくさん設けることができた。他人と話し合いをする時間が無かった。,0,0,91.91%,5.10%,2.98%,,
7518,D,難しい単語などが出てきたときに、オンラインだったら携帯などですぐに調べられた。,1,1,0.11%,99.81%,0.08%,,
8477,D,デメリットは、ほかの人と意見を交換したり話し合うことができないことメリットは、好きな時に見返したい動画を確認できること,-1,2,41.68%,0.17%,58.15%,,
7460,D,この科目では、スライドを使用して授業を行っていて、伝えたいことをとてもわかりやすくまとめられていて理解しやすかったです。,1,1,0.06%,99.21%,0.73%,,
8143,D,聞き逃したところや周りがうるさかったときに時間を戻してもう一度聞くことができる。,1,1,0.06%,99.68%,0.26%,,
